LGA,GDR score,NCD-Protect,NCD-Risk,All-5,At least one vegetable,At least one fruit,"At least one pulse, nut, or seed",At least one animal-source food,At least one starchy staple food,MDD-W,Dietary diversity score
Akwanga,9.35,2.58,2.23,26.5,70.6,44.51,57.14,89.03,98.14,46.19,4.88
Awe,9.25,2.67,2.41,23.79,74.67,39.21,58.81,87.89,97.8,45.64,4.86
Doma,9.52,2.36,1.83,18.09,68.19,35.59,63.62,88.07,98.61,39.78,4.48
Karu,9.51,2.65,2.14,28.09,73.48,51.46,62.7,83.82,96.85,33.33,4.65
Keana,9.29,2.44,2.16,22.46,72.35,33.69,61.99,89.2,98.06,63.19,4.73
Keffi,9.11,3.35,3.24,37.84,89.19,56.76,59.46,75.68,100,47.06,5.27
Kokona,8.82,2.37,2.55,16.13,90.32,36.56,56.99,100,97.85,82.35,5.14
Lafia,9.36,2.63,2.27,25.62,80.57,46.04,58.04,89.48,98.39,47.45,4.84
Nasarawa,,,,,,,,,,,
Nasarawa Egon,9.91,3.46,2.55,38.89,85.19,56.79,72.84,98.15,98.77,84.62,5.88
Obi,10.2,3.57,2.36,46.7,65.93,60.99,78.57,88.46,97.8,70,5.52
Toto,9.43,3.52,3.1,42.86,90.48,50,71.43,92.86,100,58.62,5.9
Wamba,10.3,2.46,1.16,16.67,77.5,31.67,66.67,60.83,98.33,29.41,4.12
